Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz
C6H4-CH2-2,99.35017137219805,100.7199918269609,126.28730261290274,125.60568035960284,88.37111046028721,82.45632144726166
C6H4-CH3-2,98.59086731113463,100.30342040216938,90.17405418773261,89.27018803912998,93.52827643158587,92.37047670717246
C6H4-NH-2,90.17276427932143,88.12075959284742,274.71315194125975,20.31247550893521,87.9013169581771,77.22377726458713
C6H4-NH2-2,102.19651674565722,104.57594642249468,251.94676317379822,174.7236362939729,96.86100161799092,93.96254134999016
C6H4-OH-2,98.88201253000285,100.28127896302361,252.56257086081413,108.8079883104692,96.64879034774802,93.41136818655387
C6H4O2,82.92491533094667,77.31695001583894,285.48652098873373,-58.97096600596669,87.57075709491413,71.75669641785456
C6H5Be+,92.049070547374,91.63244696528149,599.4186583163385,406.36788583550015,96.48363044511554,94.25829280354134
C6H5BH3-,105.90978232679713,108.25153556852234,368.1216811885982,-147.94067806941618,105.51941349029926,101.52460834537624
C6H5CH2+,78.62387680017088,74.60534951869472,287.7257140070604,259.29925512331306,92.06752351368091,88.79433271078292
C6H5CH2+o,89.99702196310159,89.0904076303258,357.6205918260364,279.9175184477585,102.86221151030088,99.94550683445121
C6H5CH2-,120.27008601663887,125.67295275292506,173.5141390726747,-40.92330225761901,108.94264054195494,106.08282961163418
C6H5CH2-o,105.36679117000938,105.64621397927783,293.94330089918134,-161.4252624135955,102.60246875645156,100.24101823000437
C6H5CH3,97.89830687319476,97.97915728028893,93.00594403584883,92.92445518810008,106.07250711771962,102.67304580786718
C6H5NH+,73.37455440685896,66.76568146756031,228.1856845045795,203.53249539785682,83.64868952338885,81.09951364249602
C6H5NH-,117.61186231235507,121.32902288818444,227.96666254491117,-75.46565677851717,106.12003860132609,102.38281568827028
C6H5NH2,100.43063939119645,102.5942049330759,155.14863572795718,137.39099843431345,104.70633705103151,101.3347224689485
C6H5NH3+,89.43477050364103,88.69037338000001,390.393372217162,293.37286154907184,111.78924828238502,108.2796003514449
C6H5O+,69.18891877873156,59.74860922362743,165.58796842154763,156.11103660989673,76.54561342020233,72.92505869418052
C6H5O-,115.18136149363329,117.4771107130756,223.55452647124903,-94.51189416725155,104.48908456283037,99.28270670193919
C6H5OH,99.08936271917335,99.24689707483108,145.47300627493735,105.88811349573051,105.03017529035014,101.20004993206359
C6H5OH2+,88.37798057951264,87.31962536317474,365.4343430473242,259.7576581926857,112.9501687607726,109.0432248431221
C6H6,100.0,100.0,100.0,100.0,100.0,100.0
